,,"$45,916 or less","$45,916 - $91,831","$91,831 - $142,353","$142,353 - $202,800","$202,800 or more",All Brackets
Province or Territory,Major Source of Income,,,,,,
Newfoundland and Labrador,Paid Employment,111000,74470,20240,5530,2520,213760
,Investment,2680,1350,720,440,510,5700
,Pension,99850,14070,750,110,30,114830
,Social Benefits,57740,800,-,-,-,58540
,Self-employment,6370,3400,800,350,380,11310
,Other,17900,1380,300,120,170,19870
,Total,295540,95480,22800,6550,3620,423990
Prince Edward Island,Paid Employment,41740,19970,2580,580,310,65170
,Investment,1880,970,380,200,190,3610
,Pension,24410,4450,220,30,10,29120
,Social Benefits,9540,80,-,-,-,9620
,Self-employment,2880,1330,450,160,80,4910
,Other,3830,390,100,30,20,4370
,Total,84280,27180,3720,1000,620,116790
Nova Scotia,Paid Employment,231960,127440,23130,4590,2630,389750
,Investment,9990,8310,3730,2020,1620,25670
,Pension,172380,32870,1870,340,100,207560
,Social Benefits,53880,230,-,-,-,54110
,Self-employment,17100,3930,1400,580,420,23440
,Other,37660,2870,670,260,280,41730
,Total,522960,175640,30800,7790,5060,742250
New Brunswick,Paid Employment,200810,104040,16890,3410,1690,326830
,Investment,5420,3770,1970,1120,1080,13360
,Pension,143260,21460,1060,170,60,166000
,Social Benefits,55870,280,-,-,-,56150
,Self-employment,12670,2640,780,330,200,16620
,Other,26630,1990,440,160,160,29380
,Total,444660,134190,21140,5180,3190,608350
Quebec,Paid Employment,2146360,1201530,211620,41570,27650,3628730
,Investment,106060,63400,24570,12480,16230,222740
,Pension,1324180,237640,12730,2430,1110,1578080
,Social Benefits,512520,4680,10,-,-,517200
,Self-employment,224980,28340,8810,4650,7460,274240
,Other,311990,20280,5070,2120,2640,342100
,Total,4626080,1555870,262810,63240,55090,6563090
Ontario,Paid Employment,3071980,2057020,520710,127440,92050,5869210
,Investment,237980,113300,54090,31540,40130,477030
,Pension,1619070,448320,38300,7680,2500,2115870
,Social Benefits,790970,1410,-,-,-,792380
,Self-employment,426750,65850,20940,9330,12120,534990
,Other,683550,40310,11820,5410,7670,748770
,Total,6830300,2726210,645870,181410,154470,10538260
Manitoba,Paid Employment,313710,187880,35950,6730,4320,548590
,Investment,15980,8580,3550,1920,2380,32410
,Pension,164690,34550,1790,300,150,201470
,Social Benefits,59760,100,-,-,-,59860
,Self-employment,37380,6420,1550,650,720,46720
,Other,78690,3400,870,380,510,83860
,Total,670210,240930,43710,9980,8080,972900
Saskatchewan,Paid Employment,228090,168320,45910,10210,4050,456580
,Investment,19590,16780,6540,3780,3110,49810
,Pension,127150,28780,1670,260,80,157940
,Social Benefits,59260,200,-,-,-,59470
,Self-employment,33870,8230,1950,690,580,45310
,Other,62470,4360,1110,450,490,68880
,Total,530440,226680,57170,15390,8300,837980
Alberta,Paid Employment,851270,679950,226260,72270,47950,1877700
,Investment,81510,58650,25710,13590,16300,195770
,Pension,350160,85450,7370,1490,540,445010
,Social Benefits,195150,910,10,-,-,196070
,Self-employment,100570,17220,4690,1960,2150,126590
,Other,195930,13410,3880,1850,2870,217930
,Total,1774590,855580,267920,91160,69820,3059060
British Columbia,Paid Employment,1099020,692010,173380,42370,26550,2033320
,Investment,129980,66190,31720,17540,20680,266100
,Pension,612460,141090,10200,2080,790,766610
,Social Benefits,249070,540,-,-,-,249620
,Self-employment,153750,34660,8670,3160,2810,203060
,Other,215430,13220,3600,1500,2020,235760
,Total,2459710,947700,227570,66640,52860,3754480
Northwest Territories,Paid Employment,9730,8030,3910,710,260,22640
,Investment,170,100,60,60,70,450
,Pension,2180,540,80,10,-,2820
,Social Benefits,2790,-,-,-,-,2790
,Self-employment,480,130,50,30,10,700
,Other,1870,50,30,20,30,2000
,Total,17220,8850,4130,830,370,31390
Yukon,Paid Employment,8950,7920,1720,300,100,18980
,Investment,390,240,170,80,110,990
,Pension,3150,900,80,10,-,4140
,Social Benefits,2030,-,-,-,-,2030
,Self-employment,860,270,90,30,20,1270
,Other,850,100,50,20,10,1030
,Total,16220,9440,2100,440,240,28430
Nunavut,Paid Employment,7630,4400,2470,470,120,15090
,Investment,50,30,20,10,20,130
,Pension,1100,100,10,-,-,1210
,Social Benefits,3830,-,-,-,-,3830
,Self-employment,150,60,20,10,20,260
,Other,1520,30,10,10,10,1570
,Total,14270,4620,2540,500,160,22090
Non-resident,Paid Employment,65570,4610,2350,950,1690,75170
,Investment,4890,1090,470,240,410,7100
,Pension,28530,610,30,-,-,29180
,Social Benefits,390,-,-,-,-,390
,Self-employment,3720,480,170,120,140,4630
,Other,32090,190,50,20,40,32380
,Total,135200,6990,3070,1320,2280,148850
All Canada,Paid Employment,8387820,5337600,1287110,317120,211870,15541510
,Investment,616570,342740,153690,85010,102840,1300850
,Pension,4672560,1050820,76150,14920,5380,5819830
,Social Benefits,2052800,9240,20,-,-,2062060
,Self-employment,1021520,172970,50390,22040,27110,1294030
,Other,1670390,101980,27980,12330,16940,1829620
,Total,18421660,7015350,1595340,451420,364140,27847910
